,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,5DAvg,10DAvg,20DAvg,RSI,TR,ATR,BolU,BolL,EMAs,EMAl,MACD,StoK,StoD,DMP,DMM,DI14P,DI14N,ADX,index,Revenue,COGS,GrossProfit,OperatingIncome,PreTaxIncome,IncomeAfterTax,IncomeFromContinuousOperations,NetIncome,EBITDA,SharesOutstanding,Basic EPS,EPS,Current,D/E,ITR,ROE,ROA,BVPS,OCFPS,FCFPS
1073,2024-07-16 00:00:00-04:00,844.5381603,847.9649277,838.1030534,847.4967651,1687600,0,0,851.3717896,861.5405029,856.9342957,47.94200224,9.861874239,15.35284889,890.1774184,824.8842707,854.9630031,67.78535987,787.1776432,21.25582325,63.4733012,0,0,20.80450745,16.64735594,11.09998577,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1074,2024-07-17 00:00:00-04:00,844.7473724,846.6799109,839.4080091,843.0240479,1783100,0,0,843.7950562,860.2375427,855.856958,45.53753181,8.088756071,15.24184935,890.2940491,823.264876,853.1262407,67.46736354,785.6588772,13.55297237,29.83088069,0,1.30495563,20.95601732,15.01797669,16.50648141,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1075,2024-07-18 00:00:00-04:00,846.161918,852.009329,821.9354788,836.140625,2338500,0,0,842.3566162,857.9175049,854.2939941,45.27352349,30.07385022,16.70050145,890.9669601,820.9910128,850.5130691,66.93392508,783.579144,19.92734944,47.23421203,5.329418186,0,21.40508971,13.70627935,21.92683043,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1076,2024-07-19 00:00:00-04:00,833.2916331,845.6140361,832.345276,834.9053955,1984400,0,0,841.4062866,853.1817993,853.0831696,45.04264687,13.26876012,16.90613688,891.6228568,818.6473546,848.1118885,66.80291264,781.3089759,18.1945373,43.12689128,0,10.40979717,21.1447319,17.93771306,8.205778428,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1077,2024-07-22 00:00:00-04:00,842.4960491,846.3213018,835.3735338,844.1596069,1920200,0,0,841.1452881,849.852655,853.0388397,50.70228732,11.41590631,16.61867548,891.5718808,818.9473627,847.5038452,67.47870515,780.0251401,31.17658639,73.898513,0,3.028257841,21.51048272,19.54956313,4.775736482,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1078,2024-07-23 00:00:00-04:00,845.633993,851.2921326,842.3267589,848.831604,1744100,0,0,841.4122559,846.3920227,853.2355804,46.8639414,8.965373681,16.0295247,891.2122889,818.2752338,847.7081158,67.87483772,779.8332781,37.73058569,87.01352597,0,6.953225104,20.36574759,23.36649065,6.861626988,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1079,2024-07-24 00:00:00-04:00,841.3504868,842.7451248,826.3086064,827.6235352,2511300,0,0,838.3321533,841.0636047,852.0058319,38.08205204,22.52299761,17.03207882,891.5633969,813.3930589,844.6181803,66.33321281,778.2849675,7.979353736,5.263183248,0,0,19.16696473,17.01132011,5.958393626,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1080,2024-07-25 00:00:00-04:00,832.5743636,833.4311011,811.1471722,812.81073,2183700,0,0,833.6661743,838.0113953,849.9691986,22.2098265,22.2839289,16.61582676,887.9258272,807.1089541,839.7247264,65.12177354,774.6029529,2.026925065,4.143877106,0,0,9.618029658,17.43747989,28.90150792,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1081,2024-07-26 00:00:00-04:00,816.0128832,820.2825153,807.0447318,815.6138306,1441500,1.16,0,829.8078613,835.607074,848.3825256,24.85249928,13.23778349,16.82920781,882.9286055,803.2722874,836.0153578,65.23967438,770.7756834,9.943785134,24.00281352,0,0,9.496080645,9.208580358,1.537051579,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1082,2024-07-29 00:00:00-04:00,820.5618532,821.7389794,812.1124575,813.5788574,1320400,0,0,823.6917114,832.4184998,846.7254822,20.64674205,9.626521903,16.39045198,873.4168081,802.8042177,832.5635885,65.09766902,767.4659195,8.138345273,24.76326146,0,5.06772572,5.964770006,11.66356813,32.32748361,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1083,2024-07-30 00:00:00-04:00,816.0129271,820.0032103,801.3287139,808.0623169,2017200,0,0,815.537854,828.4750549,845.0077789,20.14128052,18.67449644,17.0434026,861.9615873,803.8529531,828.7941621,64.67851748,764.1156447,7.829392896,32.99125623,0,0,5.736253415,11.21672461,32.32748361,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1084,2024-07-31 00:00:00-04:00,818.426995,823.4747006,809.2992589,820.0031738,2135000,0,0,814.0137817,826.1729675,843.2052551,37.89320716,15.41238373,14.99644575,860.3953371,802.0863959,827.4417024,65.53197713,761.9097253,35.05581452,84.32435258,0,7.970545048,6.286765185,16.54416134,44.92763858,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1085,2024-08-01 00:00:00-04:00,816.5615804,822.1679235,807.7131321,814.9056396,1861400,0,0,814.4327637,824.049469,840.9834869,37.34217792,14.4547914,15.20212455,859.4200083,799.5258099,825.5130774,65.21760124,760.2954761,25.48669106,61.30648374,0,0,6.201707712,16.32032531,44.92763858,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1086,2024-08-02 00:00:00-04:00,814.2172867,828.273025,803.0544672,820.0830078,2598500,0,0,815.3265991,822.5672302,837.8745148,36.93569446,25.21855778,15.93614156,856.4889484,798.8309281,824.677682,65.57782289,759.0998591,37.00486639,67.52384792,6.10510145,0,5.125151526,15.56861283,50.46670641,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1087,2024-08-05 00:00:00-04:00,796.061489,808.8503538,791.073635,799.8822021,2820900,0,0,812.5872681,818.1394897,833.9960724,29.3536054,29.00937277,17.30382003,854.2192684,794.2985278,820.8629928,64.10815,756.7548428,14.4555129,23.67933216,0,0,4.720064131,14.33808359,50.46670641,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1088,2024-08-06 00:00:00-04:00,803.1043359,831.0662743,803.1043359,814.8956299,2476300,0,0,813.9539307,814.7458923,830.5689575,38.82465571,31.18407212,18.95348546,850.5138772,793.9855735,819.944937,65.1113911,754.8335459,39.09366297,59.56594839,22.21592048,0,12.68158762,12.59834276,0.329292276,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1089,2024-08-07 00:00:00-04:00,822.1080543,831.8044741,807.2941523,808.331604,1702000,0,0,811.6196167,812.8166992,826.940152,38.92343994,24.51032177,18.55609057,848.229394,792.2973394,818.1582704,64.69948112,753.4587893,28.65891654,42.37076716,0,4.189816429,10.90170437,14.48094713,14.10113815,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
